"gemeentenaam";"openbareruimtenaam";"huisnummer";"huisletter";"huisnummertoevoeging";"postcode";"woonplaatsnaam";"provincienaam";"lon";"lat";"bouwjaar"
"Helmond";"Trompetstraat";21;"";"";"5702JE";"Helmond";"Noord-Brabant";5.66403045942437;51.4988602555848;2011
"Hendrik-Ido-Ambacht";"Agaat Oomstraat";3;"";"";"3342GJ";"Hendrik-Ido-Ambacht";"Zuid-Holland";4.62258275973283;51.8396438443809;1995
"Hengelo";"Burenweg";70;"";"";"7555PV";"Hengelo";"Overijssel";6.7515468932745;52.286005613337;1912
"het Bildt";"de Finne";30;"";"";"9047KT";"Minnertsga";"Friesland";5.58993673118509;53.2488460491954;1979
"Heumen";"Willem Alexanderstraat";35;"";"";"6611CE";"Overasselt";"Gelderland";5.78417197737492;51.7622442192987;1990
"Heusden";"Castellum";12;"";"";"5256GZ";"Oudheusden";"Noord-Brabant";5.13658051703364;51.7240849146853;2010
"Hillegom";"Hyacinthenlaan";16;"";"";"2182DE";"Hillegom";"Zuid-Holland";4.5612378628168;52.284174933397;1975
"Hilvarenbeek";"Van Hoornstraat";18;"";"";"5081CE";"Hilvarenbeek";"Noord-Brabant";5.13410794274821;51.4867951419239;1966
"Hilversum";"Schoolstraat";70;"";"";"1211AZ";"Hilversum";"Noord-Holland";5.17835383210438;52.2285682609805;1978
"Hof van Twente";"Koenderinkstraat";4;"";"";"7496AV";"Hengevelde";"Overijssel";6.63284631616631;52.1989393534057;1975
"Hollands Kroon";"C. R. Waiboerstraat";1;"";"G06";"1761CK";"Anna Paulowna";"Noord-Holland";4.82815012244634;52.8617321967039;1971
"Hoogeveen";"Weberstraat";5;"";"";"7903BD";"Hoogeveen";"Drenthe";6.49519750339426;52.7357603010173;1990
"Hoogezand-Sappemeer";"Strandweg";6;"";"";"9606PR";"Kropswolde";"Groningen";6.69294645208778;53.1466827106924;1960
"Hoorn";"Achterom";1;"";"133";"1621KP";"Hoorn";"Noord-Holland";5.05712063199847;52.6385287358395;1991
"Horst aan de Maas";"Californischeweg";4;"b";"";"5971NV";"Grubbenvorst";"Limburg";6.13270344331156;51.4228223540289;
"Houten";"Nikkelslag";12;"";"";"3991RD";"Houten";"Utrecht";5.15209467194711;52.0268044656102;2016
"Huizen";"Boeg";26;"";"";"1276BN";"Huizen";"Noord-Holland";5.25546706653837;52.2946144425794;1969
"Hulst";"Vinkebroeksestraat";2;"";"";"4564RB";"Sint Jansteen";"Zeeland";4.03952732589265;51.255607369256;2015
"IJsselstein";"Praagsingel";148;"";"";"3404CN";"IJsselstein";"Utrecht";5.03889512838703;52.0103712897199;1998
"Kaag en Braassem";"Sluis";25;"";"";"2376AS";"Nieuwe Wetering";"Zuid-Holland";4.62202332962752;52.2147236742796;2015
"Kampen";"Steenovensdijk";17;"";"";"8262PL";"Kampen";"Overijssel";5.90389703674321;52.5656320467741;1935
"Kapelle";"Boomweidelaan";34;"";"";"4423AP";"Schore";"Zeeland";3.99917099624717;51.4603714378949;1978
"Katwijk";"De Poel";28;"";"";"2231TK";"Rijnsburg";"Zuid-Holland";4.43435362268479;52.1906176060659;2014
"Kerkrade";"Nullanderstraat";96;"";"";"6461GE";"Kerkrade";"Limburg";6.06528308076172;50.8599610083218;1989
"Koggenland";"Perengaard";19;"";"";"1648LH";"De Goorn";"Noord-Holland";4.94478470114836;52.6338034274816;2015
"Kollumerland en Nieuwkruisland";"Cedelshof";23;"";"";"9298SB";"Kollumerzwaag";"Friesland";6.07969925485684;53.2609295893405;2002
"Korendijk";"Oudendijk";68;"";"";"3267LR";"Goudswaard";"Zuid-Holland";4.28598307129398;51.7703416325292;1911
"Krimpen aan den IJssel";"Van Utrechtweg";73;"";"";"2921LN";"Krimpen aan den IJssel";"Zuid-Holland";4.57635431238965;51.9083641040986;1989
"Krimpenerwaard";"Lageweg";30;"";"";"2935CE";"Ouderkerk aan den IJssel";"Zuid-Holland";4.64332723267009;51.9659173029572;2016
"Laarbeek";"Ten Bleek";22;"";"";"5741WT";"Beek en Donk";"Noord-Brabant";5.62094126002877;51.5304424626109;2014
"Landerd";"Rootstraat";14;"";"";"5411AX";"Zeeland";"Noord-Brabant";5.6775412779296;51.6941965781511;1975
"Landgraaf";"Voorterhof";27;"";"";"6373AG";"Landgraaf";"Limburg";6.01771737579214;50.9096810461826;1978
"Landsmeer";"Buitenhuislaan";38;"";"";"1121RM";"Landsmeer";"Noord-Holland";4.90542827051347;52.427377623448;2013
"Langedijk";"Molengroet";1;"";"628";"1723PX";"Noord-Scharwoude";"Noord-Holland";4.7701537676313;52.6953848561747;
"Lansingerland";"Forsythiastraat";9;"";"";"2651TC";"Berkel en Rodenrijs";"Zuid-Holland";4.48633880839568;52.0014812406929;1967
"Laren";"Slangenweg";21;"";"";"1251RT";"Laren";"Noord-Holland";5.22447913227723;52.2493829985242;1959
"Leek";"Dokter G. de Vrieshof";14;"";"";"9354BL";"Zevenhuizen";"Groningen";6.34485762924991;53.1231694572265;1971
"Leerdam";"Thorbeckesingel";14;"";"";"4142AN";"Leerdam";"Zuid-Holland";5.08571554701239;51.8921022240316;2015
"Leeuwarden";"Surinamestraat";19;"a";"";"8931CW";"Leeuwarden";"Friesland";5.78656565339809;53.1881258803285;2014
"Leeuwarderadeel";"De Greiden";40;"";"";"9055LR";"Britsum";"Friesland";5.78883438044101;53.2518621806485;1995
"Leiden";"Lambdakade";94;"";"";"2321KM";"Leiden";"Zuid-Holland";4.49263803318718;52.14317873933;2014
"Leiderdorp";"Persant Snoepweg";11;"";"";"2353KA";"Leiderdorp";"Zuid-Holland";4.54708163373963;52.1618232220373;
"Leidschendam-Voorburg";"Prins Bernhardlaan";66;"M";"";"2264CE";"Leidschendam";"Zuid-Holland";4.39280001652648;52.0878133325479;2016
"Lelystad";"Rode Klif";21;"";"";"8223CA";"Lelystad";"Flevoland";5.48501469677742;52.521569490032;1972
"Leudal";"Vestjenshoek";4;"a";"";"6095NT";"Baexem";"Limburg";5.85998631756335;51.2391509042647;1967
"Leusden";"Maximaplein";68;"";"";"3832JS";"Leusden";"Utrecht";5.40905752486074;52.1182576379575;2011
"Lingewaal";"Leijenburgplein";13;"";"";"4161AR";"Heukelum";"Gelderland";5.0745785147461;51.8711598653326;2012
"Lingewaard";"van Gelrestraat";78;"";"";"6851LG";"Huissen";"Gelderland";5.93285854978587;51.9374652854557;2016
"Lisse";"Voerman";200;"";"";"2163BP";"Lisse";"Zuid-Holland";4.56773773916498;52.2654799046908;1982
"Littenseradiel";"Skildyk";10;"";"";"9024EN";"Weidum";"Friesland";5.74190803223926;53.1450530840192;1999
"Lochem";"Ruiterweg";35;"";"G07";"7213BL";"Gorssel";"Gelderland";6.20690956460901;52.1997721686044;2003
"Loon op Zand";"Lindenlaan";12;"";"";"5175BW";"Loon op Zand";"Noord-Brabant";5.08164088054579;51.6292506509124;1987
"Lopik";"Zuidzijdseweg";100;"A";"";"3415PR";"Polsbroek";"Utrecht";4.86055802485708;51.9800959037926;1970
"Loppersum";"Onderdendamsterweg";15;"";"";"9991TB";"Middelstum";"Groningen";6.62727066438053;53.3392765138703;1880
"Losser";"Richterstraat";81;"";"";"7582BW";"Losser";"Overijssel";7.00471671308609;52.2533185884315;1972
"Maasdriel";"Weikesstraat";11;"";"";"5335LE";"Alem";"Gelderland";5.34453504898834;51.7861818711222;1956
"Maasgouw";"De Tes";14;"";"";"6099EB";"Beegden";"Limburg";5.9140196180616;51.1935510177848;2011
"Maassluis";"Wipperspark";132;"";"";"3141RD";"Maassluis";"Zuid-Holland";4.26667555657149;51.9224063230828;1976
"Maastricht";"Nijverheidsweg";8;"G";"01";"6227AL";"Maastricht";"Limburg";5.72256437379072;50.8423647930836;9999
"Marum";"Spoorstraat";22;"";"";"9363BJ";"Marum";"Groningen";6.27013112051557;53.1481759806887;1966
"Medemblik";"Korenmarkt";4;"";"";"1681PB";"Zwaagdijk-Oost";"Noord-Holland";5.14938018217491;52.6998375681929;1992
"Meerssen";"Sint Josephstraat";90;"";"";"6231EG";"Meerssen";"Limburg";5.74125160857905;50.8870822253603;1953
"Menameradiel";"Spoorstrjitte";11;"";"";"9033WJ";"Deinum";"Friesland";5.72624318884314;53.1909521862009;1965
"Menterwolde";"Borgercompagniesterweg";43;"";"";"9632TC";"Borgercompagnie";"Groningen";6.80890727332292;53.1318336301889;1935
"Meppel";"Tuinweg";2;"";"";"7944AD";"Meppel";"Drenthe";6.18988227341635;52.680326432921;1955
"Middelburg";"Leliëndaalseweg";3;"";"";"4333RC";"Middelburg";"Zeeland";3.60221016331445;51.5200877428375;9999
"Midden-Delfland";"Hadrianuslaan";15;"";"";"2635BV";"Den Hoorn";"Zuid-Holland";4.32170328976824;52.0098948238777;2015
"Midden-Drenthe";"Violenstraat";18;"";"";"9411GH";"Beilen";"Drenthe";6.50630699308487;52.8617948423303;1961
"Mill en Sint Hubert";"Ganzenroer";2;"";"";"5454HN";"Sint Hubert";"Noord-Brabant";5.80510074641073;51.6781340562362;1982
"Moerdijk";"Kasteelweg";111;"";"";"4761BN";"Zevenbergen";"Noord-Brabant";4.60595129862834;51.6434283421491;1997
"Molenwaard";"Gijbelandsedijk";14;"";"";"2974VC";"Brandwijk";"Zuid-Holland";4.80743948766922;51.873274402108;2012
"Montferland";"Haverveld";55;"";"";"6942ME";"Didam";"Gelderland";6.1420315093614;51.9401867197433;2002
"Montfoort";"Johannes Poststraat";8;"";"";"3417ER";"Montfoort";"Utrecht";4.95495778709523;52.0463851161895;1969
"Mook en Middelaar";"Rijksweg";6;"";"";"6584AB";"Molenhoek";"Limburg";5.86974389527977;51.7612314021918;1956
"Neder-Betuwe";"Meester J van Dolderenstraat";17;"";"";"4041VB";"Kesteren";"Gelderland";5.57654205465992;51.9301291561427;2013
"Nederweert";"Wessemerdijk";12;"";"";"6031SG";"Nederweert";"Limburg";5.78024088817978;51.2526018222289;1948
"Neerijnen";"Groote Hof";3;"";"";"4064CN";"Varik";"Gelderland";5.36589847614886;51.8222318142052;2014
"Nieuwegein";"Kruyderlaan";29;"";"36";"3431BM";"Nieuwegein";"Utrecht";5.08703212813795;52.0299624028458;2015
"Nieuwkoop";"Stobbeweg";14;"H";"";"2461EX";"Ter Aar";"Zuid-Holland";4.70951748138995;52.1786269155682;2012
"Nijkerk";"Hoefslag";132;"";"";"3862KD";"Nijkerk";"Gelderland";5.49122826896429;52.2139873655891;1975
"Nijmegen";"Tolboekstraat";15;"";"";"6537TE";"Nijmegen";"Gelderland";5.78235981979386;51.818034877944;
"Nissewaard";"Molendijk";74;"a";"";"3227CD";"Oudenhoorn";"Zuid-Holland";4.18245060993717;51.8281671789784;1968
"Noord-Beveland";"Trintellaan";19;"";"";"4484RH";"Kortgene";"Zeeland";3.81542777449671;51.5541983780817;2013
"Noordenveld";"Matsloot";1003;"";"";"9749TJ";"Matsloot";"Drenthe";6.4499960576073;53.192580468973;
"Noordoostpolder";"Schweitzersingel";38;"";"";"8302ZJ";"Emmeloord";"Flevoland";5.74221899581578;52.725207552488;2010
"Noordwijk";"van Struykstraat";31;"";"";"2203HC";"Noordwijk";"Zuid-Holland";4.45342477032896;52.2446599998236;1973
"Noordwijkerhout";"Leidsevaart";27;"";"ws";"2211WB";"Noordwijkerhout";"Zuid-Holland";4.5000329975728;52.2476877348981;
"Nuenen, Gerwen en Nederwetten";"Beekstraat";41;"";"";"5673NA";"Nuenen";"Noord-Brabant";5.56340874663066;51.4749180543561;1956
"Nunspeet";"Stationslaan";10;"a";"";"8071CM";"Nunspeet";"Gelderland";5.78218729098715;52.3753084732056;2005
"Nuth";"Eijkenderweg";5;"";"";"6361DE";"Nuth";"Limburg";5.88521172333839;50.912591001485;
"Oegstgeest";"Sterreschans";239;"";"";"2342BP";"Oegstgeest";"Zuid-Holland";4.45594742827791;52.1774980954076;2014
"Oirschot";"Dekkerstraat";4;"";"";"5091TL";"Oost West en Middelbeers";"Noord-Brabant";5.24653371886325;51.4775158184898;1976
"Oisterwijk";"Het Brieltje";3;"";"";"5066EZ";"Moergestel";"Noord-Brabant";5.18680867976377;51.5432960271711;
"Oldambt";"Grintweg";68;"";"";"9675HJ";"Winschoten";"Groningen";7.02347214407531;53.149141625454;2008
"Oldebroek";"Bovenheigraaf";174;"";"";"8091BZ";"Wezep";"Gelderland";5.99311109546803;52.4598588211802;2013
"Oldenzaal";"Bereklauw";80;"";"";"7577ES";"Oldenzaal";"Overijssel";6.92840630319624;52.3278599721166;1985
"Olst-Wijhe";"Hannie Schaftlaan";11;"";"";"8121KE";"Olst";"Overijssel";6.11132711000579;52.3340946162612;
"Ommen";"Kerkweg";1;"";"";"8148PX";"Lemele";"Overijssel";6.41449512841089;52.4525822353223;1986
"Onderbanken";"Broekstraat";45;"";"";"6451BH";"Schinveld";"Limburg";5.98186892928994;50.973057434431;1957
"Oost Gelre";"Theo de Groenstraat";16;"";"";"7141GJ";"Groenlo";"Gelderland";6.61843905227658;52.0458058364532;2011
"Oosterhout";"Sint Antoniusstraat";92;"";"";"4902PV";"Oosterhout";"Noord-Brabant";4.86760154156083;51.6362274135267;2013
"Ooststellingwerf";"Dwarshaer";23;"";"B031";"8431GV";"Oosterwolde";"Friesland";6.29621534609967;52.9853704031101;1968
